NCTNumber,StudyResults,Sex,Age,Phases,Enrollment,FunderType,StudyType
NCT02103972,NO,ALL,CHILD,NA,126,INDUSTRY,INTERVENTIONAL
NCT02615561,NO,ALL,CHILD,NA,136,INDUSTRY,INTERVENTIONAL
NCT00828412,YES,ALL,CHILD,PHASE4,100,INDUSTRY,INTERVENTIONAL
NCT00837551,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",36,INDUSTRY,INTERVENTIONAL
NCT03458624,NO,ALL,"ADULT, OLDER_ADULT",NA,14,INDUSTRY,OBSERVATIONAL
NCT00886587,YES,ALL,CHILD,NA,82,INDUSTRY,INTERVENTIONAL
NCT03411837,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,46,OTHER,OBSERVATIONAL
NCT02691507,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,53,INDUSTRY,INTERVENTIONAL
NCT02932891,YES,ALL,CHILD,PHASE2,28,INDUSTRY,INTERVENTIONAL
NCT03293030,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,18,OTHER,INTERVENTIONAL
NCT00419406,NO,ALL,"ADULT, OLDER_ADULT",NA,28,OTHER,INTERVENTIONAL
NCT00568997,NO,ALL,CHILD,NA,8000,INDUSTRY,OBSERVATIONAL
NCT00179959,YES,ALL,CHILD,PHASE4,31,OTHER,INTERVENTIONAL
NCT01132079,NO,ALL,"ADULT, OLDER_ADULT",NA,15,OTHER,INTERVENTIONAL
NCT02004119,NO,ALL,ADULT,PHASE2,93,INDUSTRY,INTERVENTIONAL
NCT00819507,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,25,OTHER,INTERVENTIONAL
NCT05575882,NO,ALL,CHILD,NA,100,INDUSTRY,INTERVENTIONAL
NCT00310492,NO,ALL,ADULT,PHASE3,154,INDUSTRY,INTERVENTIONAL
NCT05721937,NO,FEMALE,"CHILD, ADULT, OLDER_ADULT",NA,400,INDUSTRY,OBSERVATIONAL
NCT02224950,NO,ALL,CHILD,NA,0,OTHER,INTERVENTIONAL
NCT03621137,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,500,OTHER,OBSERVATIONAL
NCT00817076,NO,ALL,CHILD,PHASE3,40,INDUSTRY,INTERVENTIONAL
NCT06214481,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,20,INDUSTRY,INTERVENTIONAL
NCT00152464,YES,ALL,CHILD,PHASE3,514,INDUSTRY,INTERVENTIONAL
NCT02176577,NO,ALL,CHILD,PHASE3,0,INDUSTRY,INTERVENTIONAL
NCT00535691,NO,ALL,CHILD,PHASE2,53,INDUSTRY,INTERVENTIONAL
NCT00510003,NO,ALL,CHILD,PHASE4,117,INDUSTRY,INTERVENTIONAL
NCT03672383,NO,ALL,"ADULT, OLDER_ADULT",NA,42,INDUSTRY,INTERVENTIONAL
NCT01326910,YES,ALL,"CHILD, ADULT",NA,90,INDUSTRY,INTERVENTIONAL
NCT03634345,NO,ALL,ADULT,PHASE1,24,INDUSTRY,INTERVENTIONAL
NCT00980135,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,40,INDUSTRY,INTERVENTIONAL
NCT01781663,NO,ALL,CHILD,PHASE4,56,INDUSTRY,INTERVENTIONAL
NCT01037881,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,183,INDUSTRY,INTERVENTIONAL
NCT04486742,NO,ALL,CHILD,NA,20,OTHER,INTERVENTIONAL
NCT00560326,NO,ALL,CHILD,PHASE2,50,INDUSTRY,INTERVENTIONAL
NCT04135560,NO,ALL,ADULT,PHASE1,34,INDUSTRY,INTERVENTIONAL
NCT00150059,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,NA,INDUSTRY,INTERVENTIONAL
NCT00480896,NO,ALL,CHILD,PHASE3,250,INDUSTRY,INTERVENTIONAL
NCT00480610,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,226,INDUSTRY,INTERVENTIONAL
NCT02680301,YES,ALL,CHILD,PHASE4,40,OTHER,INTERVENTIONAL
NCT06096857,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,240,NIH,INTERVENTIONAL
NCT02031445,NO,ALL,CHILD,PHASE2,73,INDUSTRY,INTERVENTIONAL
NCT05530707,NO,ALL,CHILD,NA,49,INDUSTRY,INTERVENTIONAL
NCT05590338,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,38,INDUSTRY,INTERVENTIONAL
NCT02077088,NO,ALL,CHILD,NA,120,INDUSTRY,INTERVENTIONAL
NCT02116452,NO,ALL,CHILD,PHASE3,380,OTHER,INTERVENTIONAL
NCT00185510,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,250,INDUSTRY,INTERVENTIONAL
NCT03484897,NO,ALL,"ADULT, OLDER_ADULT",NA,22,OTHER,INTERVENTIONAL
NCT04154033,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,0,OTHER,INTERVENTIONAL
NCT01368315,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,20,INDUSTRY,INTERVENTIONAL
NCT00236106,NO,ALL,CHILD,PHASE4,20,OTHER,INTERVENTIONAL
NCT05235724,NO,ALL,CHILD,NA,18,INDUSTRY,OBSERVATIONAL
NCT02317276,YES,ALL,"ADULT, OLDER_ADULT",PHASE4,11,OTHER,INTERVENTIONAL
NCT00696397,NO,ALL,ADULT,NA,31,OTHER,OBSERVATIONAL
NCT05689151,NO,ALL,"ADULT, OLDER_ADULT",NA,183,INDUSTRY,OBSERVATIONAL
NCT06438263,NO,ALL,ADULT,PHASE1,230,INDUSTRY,INTERVENTIONAL
NCT06268847,NO,ALL,ADULT,NA,92,INDUSTRY,INTERVENTIONAL
NCT06268860,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,240,INDUSTRY,INTERVENTIONAL
NCT04831892,NO,ALL,"ADULT, OLDER_ADULT",NA,34,INDUSTRY,INTERVENTIONAL
NCT06526182,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,520,INDUSTRY,INTERVENTIONAL
NCT05952986,NO,ALL,ADULT,PHASE1,22,INDUSTRY,INTERVENTIONAL
NCT05945810,NO,ALL,ADULT,PHASE1,28,INDUSTRY,INTERVENTIONAL
NCT04001855,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,3,OTHER,INTERVENTIONAL
NCT05932888,NO,ALL,ADULT,PHASE1,40,INDUSTRY,INTERVENTIONAL
NCT05858619,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,15,OTHER,INTERVENTIONAL
NCT05688735,NO,ALL,CHILD,NA,40,INDUSTRY,INTERVENTIONAL
NCT05638165,NO,MALE,ADULT,PHASE1,18,INDUSTRY,INTERVENTIONAL
NCT04065633,NO,ALL,ADULT,PHASE1,46,INDUSTRY,INTERVENTIONAL
NCT06464133,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,300,OTHER,OBSERVATIONAL
NCT00546000,YES,ALL,CHILD,PHASE4,56,INDUSTRY,INTERVENTIONAL
NCT02411162,NO,MALE,ADULT,PHASE1,15,INDUSTRY,INTERVENTIONAL
NCT05409326,NO,ALL,ADULT,PHASE1,48,INDUSTRY,INTERVENTIONAL
NCT05378698,NO,ALL,"ADULT, OLDER_ADULT","PHASE2,PHASE3",25,OTHER,INTERVENTIONAL
NCT03568136,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,22,OTHER,INTERVENTIONAL
NCT05288543,NO,ALL,ADULT,PHASE1,86,INDUSTRY,INTERVENTIONAL
NCT05268107,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,30,OTHER,INTERVENTIONAL
NCT00616096,NO,ALL,"ADULT, OLDER_ADULT",NA,10,OTHER,INTERVENTIONAL
NCT05099133,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,24,INDUSTRY,INTERVENTIONAL
NCT00614731,NO,ALL,ADULT,PHASE1,25,NIH,INTERVENTIONAL
NCT05899816,NO,ALL,ADULT,PHASE3,221,INDUSTRY,INTERVENTIONAL
NCT00560378,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,789,INDUSTRY,INTERVENTIONAL
NCT03775590,NO,ALL,CHILD,NA,5,OTHER,INTERVENTIONAL
NCT02126176,NO,ALL,"ADULT, OLDER_ADULT",NA,50,OTHER,OBSERVATIONAL
NCT05265234,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,15,OTHER,INTERVENTIONAL
NCT04114097,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,36,OTHER,INTERVENTIONAL
NCT05131477,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,390,INDUSTRY,INTERVENTIONAL
NCT03252730,NO,ALL,"ADULT, OLDER_ADULT",NA,34,INDUSTRY,INTERVENTIONAL
NCT05990725,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,240,INDUSTRY,INTERVENTIONAL
NCT01673529,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,16,INDUSTRY,INTERVENTIONAL
NCT04455906,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,111,OTHER,OBSERVATIONAL
NCT05579899,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,119,INDUSTRY,INTERVENTIONAL
NCT04226092,NO,ALL,CHILD,NA,33,OTHER,INTERVENTIONAL
NCT04800315,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,221,INDUSTRY,INTERVENTIONAL
NCT02637206,NO,ALL,ADULT,PHASE1,26,INDUSTRY,INTERVENTIONAL
NCT00120302,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,76,INDUSTRY,INTERVENTIONAL
NCT02590289,NO,ALL,ADULT,PHASE1,20,INDUSTRY,INTERVENTIONAL
NCT00863005,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",NA,INDUSTRY,INTERVENTIONAL
NCT03983460,NO,ALL,"ADULT, OLDER_ADULT",NA,20,OTHER,INTERVENTIONAL
NCT03800004,NO,ALL,CHILD,NA,60,OTHER,OBSERVATIONAL
NCT03719742,NO,ALL,CHILD,NA,20,INDUSTRY,INTERVENTIONAL
NCT03540043,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,162,INDUSTRY,INTERVENTIONAL
NCT06565117,NO,ALL,"CHILD, ADULT",NA,120,OTHER,INTERVENTIONAL
NCT03386032,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,65,INDUSTRY,INTERVENTIONAL
NCT03441568,NO,ALL,CHILD,NA,40,INDUSTRY,INTERVENTIONAL
NCT01920464,NO,ALL,CHILD,NA,160,INDUSTRY,OBSERVATIONAL
NCT00509535,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,75,INDUSTRY,INTERVENTIONAL
NCT04097327,NO,ALL,"ADULT, OLDER_ADULT",NA,35,INDUSTRY,OBSERVATIONAL
NCT06213688,NO,ALL,"ADULT, OLDER_ADULT",NA,64,OTHER,INTERVENTIONAL
NCT03188653,NO,ALL,"ADULT, OLDER_ADULT",NA,20,OTHER,INTERVENTIONAL
NCT01782703,NO,ALL,CHILD,NA,930,OTHER,OBSERVATIONAL
NCT05935085,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,160,INDUSTRY,INTERVENTIONAL
NCT01569906,NO,ALL,CHILD,NA,58,OTHER,OBSERVATIONAL
NCT01381445,NO,ALL,ADULT,PHASE1,20,INDUSTRY,INTERVENTIONAL
NCT06503536,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,150,INDUSTRY,OBSERVATIONAL
NCT05456529,NO,ALL,CHILD,PHASE3,103,INDUSTRY,INTERVENTIONAL
NCT04773587,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,654,INDUSTRY,INTERVENTIONAL
NCT02871479,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,71,INDUSTRY,INTERVENTIONAL
NCT05136261,NO,ALL,CHILD,PHASE3,60,OTHER_GOV,INTERVENTIONAL
NCT04845620,NO,ALL,CHILD,PHASE3,652,INDUSTRY,INTERVENTIONAL
NCT04804605,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,1220,INDUSTRY,INTERVENTIONAL
NCT02144142,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,0,OTHER,INTERVENTIONAL
NCT04773600,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,683,INDUSTRY,INTERVENTIONAL
NCT00721331,NO,ALL,ADULT,PHASE1,20,INDUSTRY,INTERVENTIONAL
NCT05382819,NO,ALL,ADULT,PHASE1,89,INDUSTRY,INTERVENTIONAL
NCT05559359,NO,ALL,CHILD,PHASE3,300,INDUSTRY,INTERVENTIONAL
NCT06005792,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,128,INDUSTRY,INTERVENTIONAL
NCT02334787,YES,MALE,ADULT,PHASE1,32,INDUSTRY,INTERVENTIONAL
NCT05735483,NO,ALL,"CHILD, ADULT",PHASE3,250,INDUSTRY,INTERVENTIONAL
NCT03859986,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,124,INDUSTRY,INTERVENTIONAL
NCT02713035,NO,ALL,CHILD,NA,10,OTHER,INTERVENTIONAL
NCT01149759,YES,ALL,"ADULT, OLDER_ADULT",NA,9,OTHER,INTERVENTIONAL
NCT03795506,NO,ALL,CHILD,NA,96,OTHER,INTERVENTIONAL
NCT05870865,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,131,INDUSTRY,INTERVENTIONAL
NCT05959083,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,200,INDUSTRY,OBSERVATIONAL
NCT02169986,NO,ALL,CHILD,NA,40,OTHER,INTERVENTIONAL
NCT04021862,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,87,INDUSTRY,INTERVENTIONAL
NCT01850849,NO,MALE,"ADULT, OLDER_ADULT",PHASE1,23,INDUSTRY,INTERVENTIONAL
NCT02732314,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,53,INDUSTRY,INTERVENTIONAL
NCT03139981,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,36,INDUSTRY,INTERVENTIONAL
NCT03158012,YES,ALL,ADULT,PHASE1,15,OTHER,INTERVENTIONAL
NCT05149313,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,331,INDUSTRY,INTERVENTIONAL
NCT01522391,YES,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",41,INDUSTRY,INTERVENTIONAL
NCT04295824,NO,ALL,"CHILD, ADULT",NA,80,OTHER,OBSERVATIONAL
NCT05769946,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,79,INDUSTRY,INTERVENTIONAL
NCT01423656,NO,ALL,ADULT,PHASE1,102,INDUSTRY,INTERVENTIONAL
NCT06275659,NO,ALL,"ADULT, OLDER_ADULT",NA,120,INDUSTRY,INTERVENTIONAL
NCT03775434,YES,ALL,CHILD,PHASE1,28,INDUSTRY,INTERVENTIONAL
NCT06448689,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,90,INDUSTRY,OBSERVATIONAL
NCT00958516,NO,MALE,"ADULT, OLDER_ADULT",PHASE1,32,INDUSTRY,INTERVENTIONAL
NCT04955951,NO,MALE,ADULT,NA,40,OTHER,OBSERVATIONAL
NCT00891709,NO,MALE,ADULT,PHASE1,64,INDUSTRY,INTERVENTIONAL
NCT01132651,YES,ALL,"ADULT, OLDER_ADULT",NA,9,OTHER,INTERVENTIONAL
NCT03089229,NO,ALL,"CHILD, ADULT, OLDER_ADULT","PHASE1,PHASE2",30,INDUSTRY,INTERVENTIONAL
NCT02286700,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,42,INDUSTRY,INTERVENTIONAL
NCT03235024,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,122,INDUSTRY,INTERVENTIONAL
NCT03268174,NO,ALL,"ADULT, OLDER_ADULT",NA,19,INDUSTRY,INTERVENTIONAL
NCT04666675,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,0,INDUSTRY,INTERVENTIONAL
NCT05372653,NO,ALL,CHILD,PHASE3,41,INDUSTRY,INTERVENTIONAL
NCT03090178,NO,ALL,"ADULT, OLDER_ADULT",NA,52,OTHER,INTERVENTIONAL
NCT06119529,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,18,INDUSTRY,INTERVENTIONAL
NCT04085549,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,83,INDUSTRY,INTERVENTIONAL
NCT02084472,NO,ALL,CHILD,NA,120,OTHER,INTERVENTIONAL
NCT00407069,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,286,NIH,OBSERVATIONAL
NCT05387707,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,287,INDUSTRY,INTERVENTIONAL
NCT00076375,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,180,INDUSTRY,INTERVENTIONAL
NCT03735459,NO,ALL,CHILD,NA,21,OTHER,INTERVENTIONAL
NCT04240522,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,1000,OTHER,OBSERVATIONAL
NCT06488742,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,60,INDUSTRY,INTERVENTIONAL
NCT04023084,NO,ALL,CHILD,PHASE4,30,OTHER,INTERVENTIONAL
NCT05984784,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",13,INDUSTRY,INTERVENTIONAL
NCT01902836,NO,ALL,CHILD,PHASE2,58,OTHER,INTERVENTIONAL
NCT01224132,NO,ALL,CHILD,PHASE3,40,OTHER,INTERVENTIONAL
NCT00232076,NO,ALL,ADULT,PHASE3,NA,INDUSTRY,INTERVENTIONAL
NCT05938478,NO,FEMALE,"CHILD, ADULT, OLDER_ADULT",NA,900,OTHER,OBSERVATIONAL
NCT03052348,NO,ALL,CHILD,NA,78,OTHER,INTERVENTIONAL
NCT04287608,NO,ALL,"ADULT, OLDER_ADULT",NA,50,INDUSTRY,OBSERVATIONAL
NCT00232063,NO,ALL,ADULT,PHASE3,NA,INDUSTRY,INTERVENTIONAL
NCT04018027,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,401,INDUSTRY,INTERVENTIONAL
NCT03151148,YES,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",54,NIH,INTERVENTIONAL
NCT00884325,YES,ALL,"ADULT, OLDER_ADULT",PHASE4,40,OTHER,INTERVENTIONAL
NCT03389893,YES,ALL,"ADULT, OLDER_ADULT",PHASE4,72,NIH,INTERVENTIONAL
NCT01905631,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,30,OTHER,INTERVENTIONAL
NCT05486208,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,102,INDUSTRY,INTERVENTIONAL
NCT04525521,NO,ALL,ADULT,NA,40,OTHER,OBSERVATIONAL
NCT01359787,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,197,INDUSTRY,INTERVENTIONAL
NCT01202149,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,30,OTHER,INTERVENTIONAL
NCT04354207,NO,ALL,"CHILD, ADULT",NA,500,OTHER,OBSERVATIONAL
NCT04156191,NO,ALL,CHILD,PHASE1,101,INDUSTRY,INTERVENTIONAL
NCT01714245,NO,ALL,"CHILD, ADULT",NA,50,INDUSTRY,OBSERVATIONAL
NCT00605878,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,530,NIH,OBSERVATIONAL
NCT04170244,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,240,OTHER,OBSERVATIONAL
NCT03918980,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,185,INDUSTRY,INTERVENTIONAL
NCT03381625,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,139,INDUSTRY,INTERVENTIONAL
NCT03733353,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,204,INDUSTRY,INTERVENTIONAL
NCT03464526,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,0,INDUSTRY,INTERVENTIONAL
NCT01232985,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,17,INDUSTRY,INTERVENTIONAL
NCT03542994,NO,ALL,ADULT,PHASE1,114,INDUSTRY,INTERVENTIONAL
NCT03831646,NO,ALL,"ADULT, OLDER_ADULT",NA,150,OTHER,OBSERVATIONAL
NCT01230190,NO,ALL,CHILD,PHASE3,0,OTHER_GOV,INTERVENTIONAL
NCT00789880,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,82,NIH,INTERVENTIONAL
NCT01500941,NO,ALL,ADULT,PHASE3,48,OTHER,INTERVENTIONAL
NCT02975206,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,484,INDUSTRY,INTERVENTIONAL
NCT02475447,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,249,INDUSTRY,INTERVENTIONAL
NCT05667623,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,270,INDUSTRY,INTERVENTIONAL
NCT05650320,NO,ALL,CHILD,PHASE3,240,INDUSTRY,INTERVENTIONAL
NCT03050294,YES,ALL,"ADULT, OLDER_ADULT",PHASE4,24,OTHER,INTERVENTIONAL
NCT05958407,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,402,INDUSTRY,INTERVENTIONAL
NCT02857062,NO,ALL,CHILD,NA,34,INDUSTRY,INTERVENTIONAL
NCT03260595,YES,ALL,ADULT,PHASE1,32,INDUSTRY,INTERVENTIONAL
NCT04617977,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,192,OTHER,INTERVENTIONAL
NCT01077882,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,50,OTHER,INTERVENTIONAL
NCT05918237,NO,ALL,"ADULT, OLDER_ADULT",NA,30,INDUSTRY,INTERVENTIONAL
NCT01979016,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,54,INDUSTRY,INTERVENTIONAL
NCT03689829,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,44,INDUSTRY,INTERVENTIONAL
NCT01408511,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,23,INDUSTRY,INTERVENTIONAL
NCT04174651,NO,ALL,ADULT,NA,8,OTHER,INTERVENTIONAL
NCT01407510,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,12,INDUSTRY,INTERVENTIONAL
NCT02300701,NO,ALL,"CHILD, ADULT",PHASE4,62,OTHER,INTERVENTIONAL
NCT05583019,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,88,INDUSTRY,OBSERVATIONAL
NCT01069666,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,NA,OTHER,OBSERVATIONAL
NCT03798561,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,24,INDUSTRY,INTERVENTIONAL
NCT01960764,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,0,OTHER,INTERVENTIONAL
NCT02357940,YES,ALL,"CHILD, ADULT, OLDER_ADULT",NA,41,INDUSTRY,INTERVENTIONAL
NCT00407979,NO,ALL,"ADULT, OLDER_ADULT",NA,80,NIH,OBSERVATIONAL
NCT00931242,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,10,OTHER,INTERVENTIONAL
NCT01605708,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",19,INDUSTRY,INTERVENTIONAL
NCT04500834,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,200,INDUSTRY,INTERVENTIONAL
NCT03664271,NO,ALL,"ADULT, OLDER_ADULT",NA,168,OTHER,INTERVENTIONAL
NCT04358224,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,12,OTHER,INTERVENTIONAL
NCT02552979,NO,ALL,"CHILD, ADULT",NA,56,OTHER,OBSERVATIONAL
NCT04404075,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,11,OTHER,OBSERVATIONAL
NCT03832010,YES,ALL,CHILD,PHASE4,24,OTHER,INTERVENTIONAL
NCT00389103,NO,ALL,ADULT,PHASE1,0,INDUSTRY,INTERVENTIONAL
NCT03742414,NO,ALL,CHILD,PHASE2,312,OTHER,INTERVENTIONAL
NCT06578351,NO,ALL,CHILD,NA,60,INDUSTRY,OBSERVATIONAL
NCT05607511,NO,ALL,CHILD,NA,20,OTHER,INTERVENTIONAL
NCT03619161,NO,ALL,CHILD,NA,58,OTHER,INTERVENTIONAL
NCT05747378,NO,ALL,"ADULT, OLDER_ADULT",NA,500,INDUSTRY,OBSERVATIONAL
NCT02115399,NO,ALL,ADULT,NA,150,NIH,OBSERVATIONAL
NCT01311986,NO,ALL,ADULT,NA,120,OTHER,OBSERVATIONAL
NCT02536560,NO,ALL,CHILD,NA,450,OTHER_GOV,OBSERVATIONAL
NCT04919330,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,78,OTHER,INTERVENTIONAL
NCT00878670,NO,ALL,"CHILD, ADULT",PHASE4,23,INDUSTRY,INTERVENTIONAL
NCT06474728,NO,ALL,CHILD,NA,98,OTHER,INTERVENTIONAL
NCT06390722,NO,ALL,ADULT,PHASE3,0,INDUSTRY,INTERVENTIONAL
NCT03050151,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,176,INDUSTRY,INTERVENTIONAL
NCT06362629,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,232,OTHER,INTERVENTIONAL
NCT01137032,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,19,INDUSTRY,INTERVENTIONAL
NCT00838708,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,62,INDUSTRY,INTERVENTIONAL
NCT04194814,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,37,OTHER,INTERVENTIONAL
NCT01291940,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,25,OTHER,INTERVENTIONAL
NCT01635738,NO,ALL,"CHILD, ADULT",NA,240,INDUSTRY,INTERVENTIONAL
NCT00879944,NO,ALL,CHILD,NA,409,OTHER,OBSERVATIONAL
NCT04973384,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,120,OTHER,OBSERVATIONAL
NCT01591785,YES,ALL,"ADULT, OLDER_ADULT",NA,60,OTHER,INTERVENTIONAL
NCT04986384,NO,ALL,"CHILD, ADULT",NA,40,OTHER,INTERVENTIONAL
NCT01494142,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,3387,NIH,OBSERVATIONAL
NCT03050658,NO,ALL,CHILD,NA,144,OTHER,OBSERVATIONAL
NCT03409367,NO,ALL,CHILD,NA,1250,OTHER,INTERVENTIONAL
NCT00224432,NO,ALL,CHILD,NA,45,OTHER,INTERVENTIONAL
NCT05718921,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,54,INDUSTRY,INTERVENTIONAL
NCT05636839,NO,ALL,"ADULT, OLDER_ADULT",NA,20,OTHER,INTERVENTIONAL
NCT04510961,NO,ALL,ADULT,NA,60,OTHER,INTERVENTIONAL
NCT04133506,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,60,OTHER_GOV,OBSERVATIONAL
NCT00459576,NO,ALL,CHILD,NA,120,OTHER,OBSERVATIONAL
NCT04965233,NO,ALL,"ADULT, OLDER_ADULT",NA,0,INDUSTRY,OBSERVATIONAL
NCT04214548,NO,ALL,"ADULT, OLDER_ADULT",NA,25,OTHER,OBSERVATIONAL
NCT06155513,NO,ALL,"ADULT, OLDER_ADULT",NA,16,INDUSTRY,INTERVENTIONAL
NCT05439577,NO,ALL,"ADULT, OLDER_ADULT",NA,1800,INDUSTRY,OBSERVATIONAL
NCT05469464,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,210,INDUSTRY,INTERVENTIONAL
NCT00438022,NO,ALL,ADULT,NA,240,NIH,OBSERVATIONAL
NCT02739009,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,81,INDUSTRY,INTERVENTIONAL
